2014-12-14 19:04:31,913 가장 미세 reef.runtime.common.driver.catalog.ResourceCatalogImpl.handle main | Catalog new node: id[Node-1], rack[/default-rack], host[192.168.0.12], port[0], memory[512]
2014-12-14 19:04:31,916 가장 미세 reef.runtime.common.driver.catalog.ResourceCatalogImpl.handle main | Catalog new node: id[Node-2], rack[/default-rack], host[192.168.0.12], port[1], memory[512]
2014-12-14 19:04:31,917 가장 미세 reef.runtime.common.driver.catalog.ResourceCatalogImpl.handle main | Catalog new node: id[Node-3], rack[/default-rack], host[192.168.0.12], port[2], memory[512]
2014-12-14 19:04:31,917 가장 미세 reef.wake.impl.PubSubEventHandler.onNext main | Invoking org.apache.reef.runtime.common.driver.DriverRuntimeStartHandler@3ce19ea8
2014-12-14 19:04:31,918 가장 미세 reef.runtime.common.driver.DriverRuntimeStartHandler.onNext main | RuntimeStart: org.apache.reef.wake.time.runtime.event.RuntimeStart[1418551471908]
2014-12-14 19:04:31,919 미세 reef.wake.remote.impl.DefaultRemoteManagerImplementation.registerHandler main | RemoteManager: REEF_LAUNCHER messageType: org.apache.reef.proto.EvaluatorRuntimeProtocol$EvaluatorHeartbeatProto handler: org.apache.reef.runtime.common.driver.evaluator.EvaluatorHeartbeatHandler
2014-12-14 19:04:31,919 보다 미세 reef.wake.remote.impl.HandlerContainer.registerHandler main | class org.apache.reef.proto.EvaluatorRuntimeProtocol$EvaluatorHeartbeatProto
2014-12-14 19:04:31,920 미세 reef.wake.remote.impl.DefaultRemoteManagerImplementation.registerHandler main | RemoteManager: REEF_LAUNCHER messageType: org.apache.reef.proto.ReefServiceProtos$RuntimeErrorProto handler: org.apache.reef.runtime.common.driver.evaluator.EvaluatorResourceManagerErrorHandler
2014-12-14 19:04:31,920 보다 미세 reef.wake.remote.impl.HandlerContainer.registerHandler main | class org.apache.reef.proto.ReefServiceProtos$RuntimeErrorProto
2014-12-14 19:04:31,921 보다 미세 reef.runtime.common.driver.DriverStatusManager.onRunning main | ENTRY
2014-12-14 19:04:31,921 보다 미세 reef.runtime.common.driver.DriverStatusManager.onInit main | ENTRY
2014-12-14 19:04:31,938 가장 미세 reef.wake.remote.transport.netty.AbstractNettyEventListener.channelRead org.apache.reef.wake.remote.transport.netty.NettyMessagingTransportServerWorker-pool-8-thread-1 | MessageEvent: local: /192.168.0.12:17422 remote: /192.168.0.12:44473 :: [B@68987460
2014-12-14 19:04:31,943 미세 reef.io.network.naming.NameServer.register org.apache.reef.wake.remote.transport.netty.NettyMessagingTransportServerWorker-pool-8-thread-1 | id: Pregel addr: /192.168.0.12:19231
2014-12-14 19:04:31,950 가장 미세 reef.wake.remote.transport.netty.NettyLink.write org.apache.reef.wake.remote.transport.netty.NettyMessagingTransportServerWorker-pool-8-thread-1 | write [id: 0x91a73006, /192.168.0.12:44473 => /192.168.0.12:17422] [B@1847b5e2
2014-12-14 19:04:31,951 가장 미세 reef.wake.remote.transport.netty.AbstractNettyEventListener.channelRead org.apache.reef.wake.remote.transport.netty.NettyMessagingTransportClientWorker-pool-15-thread-1 | MessageEvent: local: /192.168.0.12:44473 remote: /192.168.0.12:17422 :: [B@6b4deb15
2014-12-14 19:04:31,952 미세 reef.io.network.naming.NamingClientEventHandler.onNext org.apache.reef.wake.remote.transport.netty.NettyMessagingTransportClientWorker-pool-15-thread-1 | Transport: 
2014-12-14 19:04:31,953 가장 미세 reef.io.network.impl.NetworkService$1.onNext SingleThreadStage<NameServiceRegisterer> | Registered Pregel with nameservice
2014-12-14 19:04:31,999 가장 미세 reef.runtime.common.driver.client.ClientConnection.send main | Sending:
identifier: "Pregel"
state: INIT

2014-12-14 19:04:32,000 미세 reef.wake.remote.impl.ProxyEventHandler.onNext main | remoteid: /192.168.0.12:13744
identifier: "Pregel"
state: INIT

2014-12-14 19:04:32,002 보다 미세 reef.runtime.common.driver.DriverStatusManager.onInit main | RETURN
2014-12-14 19:04:32,003 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.open org.apache.reef.wake.remote.impl.RemoteSenderStage-pool-6-thread-1 | No cached link for /192.168.0.12:13744 thread Thread[org.apache.reef.wake.remote.impl.RemoteSenderStage-pool-6-thread-1,5,main]
2014-12-14 19:04:32,003 가장 미세 reef.runtime.common.driver.client.ClientConnection.send main | Sending:
identifier: "Pregel"
state: RUNNING

2014-12-14 19:04:32,004 미세 reef.wake.remote.impl.ProxyEventHandler.onNext main | remoteid: /192.168.0.12:13744
identifier: "Pregel"
state: RUNNING

2014-12-14 19:04:32,005 보다 미세 reef.runtime.common.driver.DriverStatusManager.onRunning main | RETURN
2014-12-14 19:04:32,005 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.open org.apache.reef.wake.remote.impl.RemoteSenderStage-pool-6-thread-2 | Link null for /192.168.0.12:13744 found
2014-12-14 19:04:32,005 가장 미세 reef.runtime.common.driver.DriverRuntimeStartHandler.onNext main | DriverRuntimeStartHandler complete.
2014-12-14 19:04:32,006 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.open org.apache.reef.wake.remote.impl.RemoteSenderStage-pool-6-thread-2 | No cached link for /192.168.0.12:13744 thread Thread[org.apache.reef.wake.remote.impl.RemoteSenderStage-pool-6-thread-2,5,main]
2014-12-14 19:04:32,007 가장 미세 reef.wake.remote.impl.RemoteSenderEventHandler.setLink org.apache.reef.wake.remote.impl.RemoteSenderStage-pool-6-thread-1 | thread Thread[org.apache.reef.wake.remote.impl.RemoteSenderStage-pool-6-thread-1,5,main] link localAddr: /192.168.0.12:47812 remoteAddr: /192.168.0.12:13744
2014-12-14 19:04:32,007 가장 미세 reef.wake.remote.transport.netty.NettyClientEventListener.channelActive org.apache.reef.wake.remote.transport.netty.NettyMessagingTransportClientWorker-pool-5-thread-1 | io.netty.channel.DefaultChannelHandlerContext@49d49f02
2014-12-14 19:04:32,009 미세 reef.wake.time.runtime.RuntimeClock.run main | Initiate start time
2014-12-14 19:04:32,009 가장 미세 reef.wake.remote.impl.RemoteSenderEventHandler.consumeQueue org.apache.reef.wake.remote.impl.RemoteSenderStage-pool-6-thread-1 | RemoteEvent localAddr=/192.168.0.12:12040 remoteAddr=/192.168.0.12:13744 sourceName= sinkName=default seq=0 event=identifier: "Pregel"
state: INIT

2014-12-14 19:04:32,011 가장 미세 reef.wake.remote.impl.RemoteSenderEventHandler.setLink org.apache.reef.wake.remote.impl.RemoteSenderStage-pool-6-thread-2 | thread Thread[org.apache.reef.wake.remote.impl.RemoteSenderStage-pool-6-thread-2,5,main] link localAddr: /192.168.0.12:47812 remoteAddr: /192.168.0.12:13744
2014-12-14 19:04:32,012 가장 미세 reef.wake.remote.impl.RemoteSenderEventHandler.consumeQueue org.apache.reef.wake.remote.impl.RemoteSenderStage-pool-6-thread-2 | RemoteEvent localAddr=/192.168.0.12:12040 remoteAddr=/192.168.0.12:13744 sourceName= sinkName=default seq=1 event=identifier: "Pregel"
state: RUNNING

2014-12-14 19:04:32,013 가장 미세 reef.wake.impl.PubSubEventHandler.onNext main | Invoked for event: org.apache.reef.wake.time.event.StartTime[1418551472013]
2014-12-14 19:04:32,014 가장 미세 reef.wake.impl.PubSubEventHandler.onNext main | Invoking org.apache.reef.runtime.common.driver.DriverStartHandler@5f007538
2014-12-14 19:04:32,015 정보 reef.io.data.loading.api.DataLoader$StartHandler.onNext main | StartTime: org.apache.reef.wake.time.event.StartTime[1418551472013]
2014-12-14 19:04:32,016 미세 reef.io.data.loading.api.ResourceRequestHandler.releaseResourceRequestGate main | Releasing Gate
2014-12-14 19:04:32,017 가장 미세 reef.wake.impl.PubSubEventHandler.onNext main | Invoking org.apache.reef.runtime.common.evaluator.PIDStoreStartHandler@170fe042
